StartupName;Industries;HeadquartersLocation;Description;LastFundingDate;LastFundingAmount;NumberofFundingRounds;LastFundingType;IPOStatus;StartupCountry;Top5Investors
Moova;Delivery Service E-Commerce Information Technology Last Mile Transportation Logistics SaaS Shipping Software;Buenos Aires Distrito Federal Argentina;The last mile digital platform for urban logistics providers. We are reimagining last mile logistics for a sustainable world.;2023-06-27;5000000;7;Venture - Series Unknown;Private;AR;Movile Wayra FJ Labs Toyota Tsusho Alaya Capital
Reuse;Marketplace;Santiago Region Metropolitana Chile;Reuse is an endtoend online marketplace for buying and selling refurbished electronics in LATAM;2024-04-27;4500000;2;Seed;Private;CL;IGNIA Dalus Capital AngelHub VC Silence VC Seaya Cathay Latam
Roxom;Bitcoin Blockchain Cryptocurrency FinTech;Buenos Aires Distrito Federal Argentina;Roxom is the first Bitcoin Stock Commodities and Crypto Exchange in human history.;2024-07-01;4300000;1;Pre-Seed;Private;AR;Borderless Capital 2TM Draper Associates Cadenza Ventures Newtopia VC
Angelkids AI;Artificial Intelligence (AI) EdTech Information Services Machine Learning Web Browsers;Mendoza Mendoza Argentina;A safer and smarter portal to your childs digital world;2023-08-06;4200000;1;Seed;Private;AR;
VU;Biometrics Cyber Security Fraud Detection Identity Management Security;Buenos Aires Distrito Federal Argentina;VU is a cybersecurity company that specializes in fraud prevention and identity protection.;2023-04-07;4200000;10;Venture - Series Unknown;Private;AR;Wayra Globant NXTP Ventures Telefonica IDB Lab
Enerlink;Charging Infrastructure Electric Vehicle Energy Internet of Things Software;Santiago Region Metropolitana Chile;Enerlink provides a hardwareagnostic and multipurpose Charge Management Software (CMS) for EV businesses (B2B SaaS);2023-10-28;3600000;1;Seed;Private;CL;Kayyak Ventures VX Ventures E62 Ventures Inversiones GP Marinetti Family office
Legria;Real Estate;Santiago Region Metropolitana Chile;Legria is a operator of a real estate platform where coowners can split the investment and maintenance costs;2023-11-14;3400000;2;Debt Financing;Private;CL;Chile Ventures Daedalus Ventures Amarena Eduardo della Maggiora Ameris Capital
Cleanlight;CleanTech Energy Hardware Manufacturing Renewable Energy Solar;Santiago Region Metropolitana Chile;Cleantech Solar Energy Manufacturer;2023-09-02;3200000;3;Debt Financing;Private;CL;Newchip Accelerator Re Royalties
Checkeadoscl;Automotive ECommerce ECommerce Platforms;Santiago Region Metropolitana Chile;Checkeadoscl is an online platform that offers insight into buying and selling used cars;2023-03-01;3000000;2;Seed;Private;CL;
Cloudgaia;Cloud Computing CRM Information Technology;Beccar Buenos Aires Argentina;Cloudgaia cloud experts developers and product support specialists has extensive experience working with Salesforce cloud platforms.;2024-06-04;3000000;1;Seed;Private;AR;
Bioeutectics;Biotechnology GreenTech Product Design Sustainability;Mendoza Mendoza Argentina;Bioeutectics is revolutionising the solvent industry turning it into one that is natural and biodegradable.;2024-01-23;2100000;4;Seed;Private;AR;IndieBio SOSV GridX Atento Capital Fen Ventures
Loads;AgTech Food Delivery Supply Chain Management;Santiago Region Metropolitana Chile;Loads is the first digital supplier worldwide making food international trade more sustainable transparent and accessible;2023-11-08;2050000;2;Seed;Private;CL;Canary Nazca Ventures Alaya Capital
Koywe;Billing Blockchain Cryptocurrency FinTech Payments;Santiago Region Metropolitana Chile;Koywe provides payment APIs and SDKs so that any company can start leveraging crypto to offer remittances wallets and investment services;2023-03-31;2000000;2;Seed;Private;CL;Y Combinator Franklin Templeton Goodwater Capital Rebel Fund Hi2 Venture Fund
Regcheq;B2B Compliance Legal Tech;Las Condes Region Metropolitana Chile;Regcheq is the developer of software as a service intended for antimoney laundering regulatory compliance management;2023-07-07;2000000;2;Seed;Private;CL;Taram Capital Consorcio Sable
Wareclouds;ECommerce Logistics Same Day Delivery Software;Santiago Region Metropolitana Chile;Crowdsourcing for ecommerce logistics;2023-07-28;2000000;4;Seed;Private;CL;StartUp Chile 2048 Ventures ChileGlobal Ventures Mike Hennessey Peter Fader
Tucar;Information Technology Logistics Public Transportation Ride Sharing;Santiago Region Metropolitana Chile;P2P rent a car for Gig workers;2023-11-30;2000000;4;Seed;Private;CL;Family & Friends
SPOT;Analytics Computer Vision Facial Recognition Image Recognition Software;Santiago Region Metropolitana Chile;We provides video analytics as a service to convert videos in capitalizable data;2024-01-15;2000000;7;Seed;Private;CL;StartUp Chile Bridge Latam FEMSA Ventures Kuiper Daedalus Ventures
Movener;Electric Vehicle Environmental Consulting Pollution Control;Santiago Region Metropolitana Chile;Movener is transforming polluting trucks into ecofriendly hybrid trucks;2024-04-26;2000000;1;Venture Series Unknown;Private;CL;SQM Lithium Ventures
ObraLink;Civil Engineering Construction Information Technology;Providencia Region Metropolitana Chile;ObraLink is a technology service that automates processes and manual tasks in the execution of construction projects;2024-07-02;1929695;4;Seed;Private;CL;Cemex Ventures Carao Ventures Echeverria Izquierdo Polpaico Solutions M10
Done Properly;Biotechnology Food and Beverage Food Processing Sustainability;Santiago Region Metropolitana Chile;Done Properly is a foodtech company developing innovative sustainable ingredients through fermentation technologies;2023-02-13;1800000;7;Seed;Private;CL;StartUp Chile AIR Capital Angel Ventures Clave CORFO
Auravant;Agriculture AgTech Farming;Buenos Aires Distrito Federal Argentina;Auravant help improve the efficiency of the agricultural sector through the use of aerial monitoring platforms.;2023-06-01;1723656;6;Seed;Private;AR;Wayra NXTP Ventures GoHub Ventures The Yield Lab LATAM Kamay Ventures
Keirón;Health Care Information Technology Software;Santiago Region Metropolitana Chile;Keiron is a healthtech focused on digitize the patient journey with and interoperable whitelabel and omnichannel platform;2024-03-04;1700000;3;Seed;Private;CL;Taram Capital Nakama Ventures Consorcio LarrainVial Asset Management
Fracción;ECommerce Health Care Pharmaceutical;Santiago Region Metropolitana Chile;Fracción is an ecommerce platform for pharmacy products;2024-03-21;1700000;2;Undisclosed;Private;CL;Manutara Ventures
Discoverit.store;B2B E-Commerce Marketplace Wholesale;Buenos Aires Distrito Federal Argentina;We are a wholesale marketplace that connects independent retailers with local brands across Latam;2023-03-01;1600000;1;Seed;Private;AR;
Num Finance;Cryptocurrency Financial Services;Buenos Aires Distrito Federal Argentina;Real-World Assets at one-click;2023-05-23;1500000;1;Pre-Seed;Private;AR;Reserve Ripio Ventures Matias Woloski VC3 DAO H2O Scouter Fund
Btrust;Financial Services FinTech SaaS;Las Condes Region Metropolitana Chile;Btrust is a SaaS company that provides Supply Chain Finance solutions for corporates and their suppliers;2024-05-17;1500000;2;Seed;Private;CL;Invexor Venture Partners
SiloReal;;Buenos Aires Distrito Federal Argentina;SiloReal offers real-time remote monitoring and security of silo bags.;2023-10-10;1500000;1;Seed;Private;AR;
IOF Company;AgTech Blockchain Information Technology Internet of Things;Beccar Buenos Aires Argentina;IOF is an IT firm that develops and integrates IoT + Blockchain solutions to manage and activate the value of merchandise.;2023-10-17;1500000;2;Seed;Private;AR;Innventure Draper Cygnus Xperiment Ventures Rio Uruguay Seguros
Webdox;Cloud Data Services Collaboration Contact Management Enterprise Software Information Technology Natural Language Processing Procurement SaaS Software;Santiago Region Metropolitana Chile;Webdox is a SaaS CLM focused on large and medium companies in LATAM and the US;2024-09-13;1500000;8;Venture Series Unknown;Private;CL;Wayra Kayyak Ventures Taram Capital Asenza Capital Alacrity Ventures
Omnix Corp;Artificial Intelligence (AI) Big Data Business Intelligence Data Center Automation SaaS;Santiago Region Metropolitana Chile;Cognitive automation of complex business processes through AI to restore operational fluidity;2023-02-01;1400000;2;Seed;Private;CL;Wayra Plug and Play
BY BUG;Biotechnology Farming Waste Management;La Serena Coquimbo Chile;We offer an onsite organic waste management service which uses our insectbased biotechnolgy platform to create high valueadded products;2024-07-08;1400000;1;Seed;Private;CL;Atento Capital GRID EXPONENTIAL Arpegio Sudlich Capital Halcyon Venture Partners
Hackmetrix;Cloud Security Compliance Cyber Security Security;Santiago Region Metropolitana Chile;Hackmetrix helps startups improve their security complying with industry standars like ISO27k or PCI;2023-06-08;1300000;7;Convertible Note;Private;CL;RaliCap StartUp Chile Cometa Bridge Latam Daedalus Ventures
Wbuildio;Asset Management Blockchain Marketplace Real Estate Real Estate Investment;Santiago Region Metropolitana Chile;A global ESG driven fractional real estate investing marketplace that promotes sustainable practice adoption and grants access to all;2023-03-03;1200000;2;Seed;Private;CL;
GrupoTusMaquinas;Construction Marketplace Mining;Santiago Region Metropolitana Chile;GrupoTusMaquinas is a marketplace that offers lending renting leasing selling and financial solutions for industrial machinery;2023-06-16;1200000;2;Seed;Private;CL;
Retorna;Apps Financial Services Mobile Payments Transaction Processing;Las Condes Region Metropolitana Chile;Retorna is an application for online money transfers and payments;2024-06-25;1200000;1;Seed;Private;CL;Morro Ventures Amplifica Capital Impacta VC Colectivo Jaguara
Colaboramed;Mobile Payments Payments;Santiago Region Metropolitana Chile;Colaboramed is a medical copayment card helps copayment services along with rewards points and money transfer services;2023-10-25;1000000;1;Corporate Round;Private;CL;UPayments
Kran;Environmental Engineering Nanotechnology Sustainability Water;Lagos Los Lagos Chile;Kran is a technology company that develops solutions through designs and implementation of applications based on nanobubble science;2023-03-25;1000000;1;Seed;Private;CL;Amarena Invexor Venture Partners
Fraccional;Crowdfunding Property Management Real Estate Real Estate Investment;Santiago Region Metropolitana Chile;Fraccional is a real estate investment platform that allows to enter the real estate market for a small charge and earn money;2024-03-01;1000000;2;Seed;Private;CL;
Airnguru SA;Air Transportation Big Data Business Intelligence Information Technology Machine Learning SaaS;Santiago Region Metropolitana Chile;Bestinclass airline pricing intelligence price optimization orchestration and automation platform;2024-03-12;1000000;7;Seed;Private;CL;
Tucán;B2B Digital Marketing E-Commerce Logistics Sales;Buenos Aires Distrito Federal Argentina;Tucán helps restaurants thrive online by providing e-commerce last-mile and marketing solutions.;2024-08-14;1000000;2;Seed;Private;AR;Start-Up Chile Shefa Ventures
BoulderTech;Bitcoin Blockchain Cryptocurrency Financial Services;Buenos Aires Distrito Federal Argentina;Tokenize manage and invest in real-world assets;2023-11-21;1000000;1;Seed;Private;AR;Shefa Ventures
FarmaLoop;ECommerce Health Care Medical Pharmaceutical;Santiago Region Metropolitana Chile;FarmaLoop is an online pharmacy which is easy to use platform and innovative prices as per customers requirement;2024-06-05;900000;1;Venture Series Unknown;Private;CL;Amarena
Bifidice;ECommerce Food and Beverage Nutrition Retail;Las Condes Region Metropolitana Chile;Bifidice sells probiotic ice cream with bifidumbacteria;2023-12-29;850000;3;Venture Series Unknown;Private;CL;CORFO ProVeg Incubator Sudlich Capital Thomas Otesen Gabriel Salinas
Yourneyio;Corporate Training Human Resources Personal Development SaaS Training Wellness;Santiago Region Metropolitana Chile;Digital coaching platform that improves the lives of your employees and their ability to drive your organization to its full potential;2023-12-01;770000;2;Seed;Private;CL;Invexor Venture Partners
diio;Analytics Artificial Intelligence (AI) Enterprise Software Sales Enablement;Puerto Varas Los Lagos Chile;Saas Conversation Intelligence;2024-03-18;750000;1;PreSeed;Private;CL;Fen Ventures Salvador Said Cristobal Pinera
EdiPro;Finance Management Information Systems Property Management SaaS Security Smart Cities;Santiago Region Metropolitana Chile;EdiPro is an Operating System for smart buildings and condominiums;2023-09-01;750000;4;Seed;Private;CL;Invexor Venture Partners Mauricio Zelada
Nuqlea;Construction E-Commerce Information Technology;Boulogne Buenos Aires Argentina;Nuqlea is a B2B digital platform from construction that integrates its value chain and develops technological triple bottom line solutions.;2024-02-12;750000;2;Seed;Private;AR;Newtopia VC Fundamental VC Saint-Gobain NOVA Matias Woloski Eduardo Novillo Astrada
Rubisco Biotechnology;AgTech Biotechnology Cosmetics Natural Resources;Santiago Region Metropolitana Chile;Rubisco is a biotech company specialized in the development of natural ingredients from the technology of plant cells culture;2023-05-11;750000;1;Venture Series Unknown;Private;CL;Sudlich Capital
Foccuz;Software;Chillan BioBio Chile;Foccuz is a company that provides software solutions for sales teams;2024-03-22;700000;1;Seed;Private;CL;Chile Ventures Kuiper Invariantes Fund CARABELA MGV Capital
paydece;Cryptocurrency;Buenos Aires Distrito Federal Argentina;paydece.io decentralized P2P payment platform on the blockchain.;2023-04-01;600000;1;Pre-Seed;Private;AR;Trampoline Venture Partners Draper University Ventures Sebastian Serrano Ripio Ventures
Valuelist;Asset Management Financial Services Stock Exchanges;Las Condes Region Metropolitana Chile;Valuelist specializes in investment mutual funds cryptocurrency bonding financial and pension planning services;2023-10-16;600000;1;PreSeed;Private;CL;Synapse XTL
Ainwater;Software;Osorno Los Lagos Chile;AIbased SaaS for water treatment plant control and optimization;2024-08-28;537000;1;PreSeed;Private;CL;Arpegio Sudlich Capital Imagine Brian Oduor Buildtech Ventures
Einsted;Advanced Materials Clean Energy CleanTech Environmental Engineering Industrial Engineering;Buenos Aires Distrito Federal Argentina;Last mile Hydrogen Generation for Industrial Processes Decarbonization;2023-10-30;525000;3;Seed;Private;AR;GRID EXPONENTIAL Rumbo Ventures VistaEnergy Cleantech Estonia
Sheriff;Finance Financial Services Risk Management;Santiago Region Metropolitana Chile;Sheriff is a digital risk management software that allows user to simply manage user debtor portfolio;2023-05-22;500000;1;Angel;Private;CL;
Trebe Biotech;Biotechnology;Pergamino Buenos Aires Argentina;Trebe Biotech offers an innovative high-throughput platform for the production of high-quality and complex recombinant proteins.;2023-10-01;500000;1;Pre-Seed;Private;AR;SF500
Bemmbo;Accounting Financial Services FinTech Payments Sales Automation Software;Santiago Region Metropolitana Chile;Bemmbo saves companies time and money automating accounts payables and receivables;2023-01-23;500000;3;PreSeed;Private;CL;Platanus 99 Startups
iHunt;Human Resources;Santiago Region Metropolitana Chile;iHunt is Latin Americas largest crowdrecruitment platform with presence in 10 countries within the region;2023-09-01;500000;1;PreSeed;Private;CL;Invexor Venture Partners
Exacta BioScience;Agriculture Biotechnology Farming;Santiago Region Metropolitana Chile;Biological crop protection and stimulants;2023-03-01;500000;1;Seed;Private;CL;Water Lemon Ventures
Futuro Hidroponico;Agriculture Farming Hydroponics;Córdoba Cordoba Argentina;Futuro Hidroponico is an agriculture company that develops and generates hydroponic solutions for food production.;2023-12-14;500000;1;Seed;Private;AR;
Wibo;ECommerce Internet Software;Santiago Region Metropolitana Chile;wibo offers mobile application that customers can order pay and receive their orders through channels;2023-02-10;450000;2;PreSeed;Private;CL;Daedalus Ventures Nakama Ventures
Xpendit;FinTech SaaS;Las Condes Region Metropolitana Chile;SaaS B2B for Expense Management in Latin America;2024-01-03;450000;1;PreSeed;Private;CL;Minga Ventures
Relif;FinTech;Santiago Region Metropolitana Chile;Relif is a financial health platform for employees in LatAm;2024-07-18;400000;2;Angel;Private;CL;ChileGlobal Angels
Explorer Latam VC;Incubators Venture Capital;Yerba Buena Tucuman Argentina;The first VC in the north of Argentina;2023-03-01;360000;1;Pre-Seed;Private;AR;
Drovid;Software;Santiago Region Metropolitana Chile;PaaS diseñada para la protección contra incendios forestales mediante el monitoreo de bosques con inteligencia artificial;2024-07-11;350000;6;Nonequity Assistance;Private;CL;Google for Startups CORFO Agencia Nacional de Investigación y Desarrollo Cristian Rodrigo León Ibarra
Morfy;Mobile Mobile Payments Software;Buenos Aires Distrito Federal Argentina;A community-driven social marketplace powered by AI to change the way people find out new gastronomic proposals.;2023-10-15;350000;2;Pre-Seed;Private;AR;Platanus MrPink VC
Qubik Logtech;Apps Logistics Shipping Software;Córdoba Cordoba Argentina;Qubik Logtech serves as a comprehensive logistics platform that aims to streamline global shipping and supply chain processes.;2023-03-01;350000;1;Pre-Seed;Private;AR;Alchemist Accelerator Start-Up Chile
Ecopass Latam;Concerts Email Event Management Event Promotion Events Internet Nightclubs Reservations Ticketing Wedding;Santiago Region Metropolitana Chile;Technology company that allows creating selling and transmitting physical and online events in Chile and Latin America;2023-06-03;350000;2;Seed;Private;CL;CORFO
licitaLAB;Machine Learning Software;Santiago Region Metropolitana Chile;licitaLAB simplifies the selling of products to the State by offering business identification tools app management and market information;2023-10-19;300000;2;PreSeed;Private;CL;Magical Nakama Ventures
HomeIn;Consulting Financial Services PropTech Real Estate Software;Santiago Region Metropolitana Chile;The first housing ecosystem that integrates home solutions and services through a platform with the best financing alternatives;2023-04-30;300000;2;Seed;Private;CL;EBCO Kunder (Acquired by Betterfly) Octavio Pérez de Arce José Montero Echeverría Diego Kuri
Teambit;B2B Information Technology Internet of Things SaaS;Santiago Region Metropolitana Chile;Teambit is a software company that offers platform to measure and manage the performance of engineering teams;2023-10-14;260000;1;PreSeed;Private;CL;Platanus
Mycorium Biotech;Advanced Materials Biotechnology Fashion Manufacturing Natural Resources Product Research Sustainability;Rosario Santa Fe Argentina;Developing mycelium-based leather;2023-05-10;250000;1;Pre-Seed;Private;AR;
Block Capital;Financial Services Software;Santiago Region Metropolitana Chile;Crypto investment platform;2023-11-01;250000;1;Seed;Private;CL;Julio Solar
Ecooks Web Solutions;Artificial Intelligence (AI) CRM Information Technology Machine Learning;Santiago Region Metropolitana Chile;NextGen AI/MLintegrated CRM Software Solution that has changed the way businesses manage their customer relationships;2023-11-24;206000;2;Series A;Private;CL;Seedstars International Ventures
Club de la Felicidad;Health Care Mental Health Psychology Wellness;Santiago Region Metropolitana Chile;We are a digital ecosystem that empowers employees to take control of their own mental health and wellbeing in the workplace;2023-08-03;200000;1;Angel;Private;CL;
Welfi;FinTech Wealth Management;Mendoza Mendoza Argentina;Welfi is an Argentinian fintech startup focused on helping people across Latin America achieve financial freedom.;2023-12-20;200000;1;Angel;Private;AR;
CleanQueen;Cleaning Products ECommerce;Santiago Region Metropolitana Chile;CleenQueen is an Ecommerce that offers home cleaning and hygiene products at unbeatable prices;2023-03-01;200000;1;PreSeed;Private;CL;
GoodPlayers;SaaS Software;Las Condes Region Metropolitana Chile;SaaS for corporate social and environmental impact management;2023-11-17;200000;1;PreSeed;Private;CL;Cristian Tala Sánchez
Carvuk;Automotive Insurance Professional Services;Santiago Region Metropolitana Chile;Carvuk is a car servicing platform that helps car owners manage their maintenance insurance inspections crashes washes and more;2023-11-30;200000;2;Seed;Private;CL;Platanus
Forpay;FinTech Payments SaaS Software;Santiago Region Metropolitana Chile;Cloud Saas to automate the collection of recurring fees memberships and subscriptions;2023-04-01;185000;2;Angel;Private;CL;
BondUP;ELearning Elderly Social Network Wellness;Santiago Region Metropolitana Chile;BondUP is an online social network platform for seniors;2023-08-01;180000;2;Angel;Private;CL;CORFO
WiWO;Marketing SaaS Software;Santiago Region Metropolitana Chile;WiWO offers an allinone SaaS marketing and sales platform with advanced automation and DFY services to optimize business growth;2023-12-10;180000;1;PreSeed;Private;CL;
HRX Talent;Analytics Human Resources Predictive Analytics SaaS;Santiago Region Metropolitana Chile;People Analytics SaaS Platform for Human Resources;2024-05-02;180000;1;Seed;Private;CL;INNZPIRA
Gohaus;ECommerce Marketplace PropTech Retail Technology;Santiago Region Metropolitana Chile;Gohaus is an AIpowered platform designed to streamline the furnishing process for both companies and consumers;2023-10-01;170000;2;PreSeed;Private;CL;Techstars StartUp Chile CORFO Davila y Cia Limitada Fabec SpA
Biwiser;Analytics Information Technology Service Industry;Vitacura Region Metropolitana Chile;Biwiser offers BI analytics optimized planning and advanced analytics services;2023-09-04;161540;1;Equity Crowdfunding;Private;CL;
ComexPoint;ECommerce Freight Service Insurance Last Mile Transportation Logistics Shipping Software Supply Chain Management Transportation;Viña Del Mar Valparaiso Chile;ComexPoint connects global trade players enabling importers/exporters to choose fair options and know all costs and processes in advance;2024-03-04;160000;1;PreSeed;Private;CL;
DataScope;Field Support Information Technology Internet of Things Mining Technology Public Safety Quality Assurance Retail Technology SaaS Software;Santiago Region Metropolitana Chile;DataScope provides solutions to help various industries to streamline organize and evaluate the work of their field staff;2023-07-13;150000;1;Nonequity Assistance;Private;CL;Google for Startups Latino Founders Fund
Rentennials;Car Sharing;Mendoza Mendoza Argentina;Mobile App Marketplace Car sharing Mobility;2024-09-15;150000;2;Pre-Seed;Private;AR;
CUX;Artificial Intelligence (AI) Health Care Mental Health;Buenos Aires Distrito Federal Argentina;CUX provides on demand mental health assistance for lonely people powered by AI. Happiness as a Service;2023-07-01;150000;1;Pre-Seed;Private;AR;Alexia Keglevich Santiago Lorenzo Miguel Ángel Peña
PublicData;Data Collection and Labeling Data Integration Health Care Information Technology;Lo Barnechea Region Metropolitana Chile;Public Data is an information company that public health and pharma data gather in one single source;2023-03-01;150000;1;PreSeed;Private;CL;Javier Gonzalez
